MATRICULA,CATEGORIA,LABORATÓRIO,DATA,Dia_Semana,HORÁRIO
UC24101348,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23200682,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100429,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100576,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24103066,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23200247,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102250,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24200939,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24200490,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23101403,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24202877,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23101519,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC21100992,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100588,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24200528,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC21103945,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100375,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23423817,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101748,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23100166,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102026,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24201488,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101056,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102975,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102564,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
2010024024,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23100039,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102983,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101888,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23200232,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101533,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC22201192,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23102997,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100024,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23100057,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24200845,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24202689,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101513,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23100121,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24100868,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24201267,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101829,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101874,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102553,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24102375,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23425469,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24101536,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24202632,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24201503,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC23103150,DESENVOLVEDOR,M107,17/10/2024,quinta-feira,14:00 - 15:00
UC24201008,DESENVOLVEDOR,M108,17/10/2024,quinta-feira,14:00 - 15:00
UC23100362,DESENVOLVEDOR,M108,17/10/2024,quinta-feira,14:00 - 15:00
UC24102955,DESENVOLVEDOR,M108,17/10/2024,quinta-feira,14:00 - 15:00
